feature,midpoint,frame,coefficient
5,0.15,15,0.2615268
6,0.15,15,-0.6424845
7,0.15,15,2.1441987
8,0.15,15,-2.1365447
9,0.15,15,1.34586
10,0.15,15,-0.6567229
11,0.15,15,-1.4768469
12,0.15,15,0.5750033
13,0.15,15,-0.25665027
14,0.15,15,-0.42801747
15,0.15,15,1.6889402
16,0.15,15,0.021300709
17,0.15,15,-1.1826466
18,0.15,15,-0.34243816
19,0.15,15,-0.016381644
20,0.15,15,0.6391253
21,0.15,15,0.57378423
22,0.15,15,0.8490259
23,0.15,15,-0.50199306
24,0.15,15,0.6662781
25,0.15,15,-1.3126826
26,0.15,15,0.14861874
27,0.15,15,-0.45646065
28,0.15,15,1.7742113
29,0.15,15,-0.84137243
30,0.15,15,0.32745472
31,0.15,15,0.1439691
32,0.15,15,-1.7347552
33,0.15,15,1.9828407
34,0.15,15,-1.3632236
35,0.15,15,-0.7012113
36,0.15,15,-2.1571686
37,0.15,15,1.5155706
38,0.15,15,-0.5355803
39,0.15,15,0.5473351
